"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Apr-2022","EQ","217.00","219.65","214.05","213.10","216.00","215.65","217.05","298.65","123.50",1214757,"263,665,559.20",12296
"25-Apr-2022","EQ","216.05","218.70","211.45","219.45","213.95","213.10","214.72","298.65","123.50",1855909,"398,503,297.90",19096
"22-Apr-2022","EQ","222.30","222.80","218.25","224.85","219.70","219.45","220.60","298.65","123.50",1312324,"289,493,800.70",12948
"21-Apr-2022","EQ","222.60","225.80","221.55","220.85","224.95","224.85","223.19","298.65","123.50",1592072,"355,341,859.90",13109
"20-Apr-2022","EQ","218.15","222.40","216.20","216.50","220.90","220.85","219.93","298.65","123.50",2299276,"505,669,615.40",19987
"19-Apr-2022","EQ","225.40","226.80","210.10","223.20","215.30","216.50","220.85","298.65","123.50",1993307,"440,220,320.70",22256
"18-Apr-2022","EQ","221.90","224.90","216.55","221.90","223.05","223.20","220.20","298.65","123.50",2056785,"452,902,307.65",23734
"13-Apr-2022","EQ","226.00","227.65","221.10","224.30","222.50","221.90","223.62","298.65","123.50",1575035,"352,211,802.55",17760
"12-Apr-2022","EQ","229.25","229.25","222.10","230.25","225.00","224.30","224.48","298.65","123.50",2350962,"527,733,890.55",23129
"11-Apr-2022","EQ","235.00","237.00","229.05","233.60","230.80","230.25","233.94","298.65","123.50",2592956,"606,590,574.00",23765
"08-Apr-2022","EQ","230.00","235.70","228.90","229.00","234.50","233.60","233.10","298.65","123.50",3303765,"770,103,450.95",26872
"07-Apr-2022","EQ","230.60","237.20","227.80","229.45","229.30","229.00","231.79","298.65","123.50",4676476,"1,083,978,100.40",38358
"06-Apr-2022","EQ","226.00","232.00","224.15","225.95","229.60","229.45","228.42","298.65","123.50",4581000,"1,046,397,954.50",36869
"05-Apr-2022","EQ","218.00","227.00","216.40","216.35","225.70","225.95","223.58","298.65","123.50",6152406,"1,375,573,972.10",42282
"04-Apr-2022","EQ","213.95","218.35","211.95","212.45","216.30","216.35","216.11","298.65","123.50",3628744,"784,205,131.10",28995
